"source_doc","article","local_image","annotation_notes","final_sharepoint_url"
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-09.png","Initial User List controls marked and learner names, IDs, and org data redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx","docs/admin-learning-assignment-tool.md","image-upload-staging/learning-assignment-tool/step-10.png","Training progress total marked with warm-coral focus ring; created-by name redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grade Checklists.docx","docs/checklists-grade-checklists.md","image-upload-staging/grade-checklists/step-01.png","Grade Checklists menu item marked and example profile name redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grade Checklists.docx","docs/checklists-grade-checklists.md","image-upload-staging/grade-checklists/step-02.png","Search controls marked and learner and manager names redacted; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grade Checklists.docx","docs/checklists-grade-checklists.md","image-upload-staging/grade-checklists/step-03.png","Checklist row, date, rating, Observation Notes, and Sign controls marked; signature name redacted; cropped for readability from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grade Checklists.docx","docs/checklists-grade-checklists.md","image-upload-staging/grade-checklists/step-04.png","Submit For Approval control marked with warm-coral focus ring; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Printing Transcript Report.docx","docs/learner-print-transcript-report.md","image-upload-staging/print-transcript-report/step-01.png","My Transcript tile marked with warm-coral focus ring; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Printing Transcript Report.docx","docs/learner-print-transcript-report.md","image-upload-staging/print-transcript-report/step-02.png","Transcript actions menu and Run Transcript Report marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Printing Transcript Report.docx","docs/learner-print-transcript-report.md","image-upload-staging/print-transcript-report/step-03.png","Training, credit detail, and Run Report controls marked with warm-coral focus rings; derived from embedded Word screenshot.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-07.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx","docs/admin-auto-assign-dashboard.md","image-upload-staging/admin-auto-assign-dashboard/step-09.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx","docs/content-add-curriculum-note.md","image-upload-staging/content-add-curriculum-note/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx","docs/content-add-curriculum-note.md","image-upload-staging/content-add-curriculum-note/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx","docs/content-add-curriculum-note.md","image-upload-staging/content-add-curriculum-note/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx","docs/content-add-curriculum-note.md","image-upload-staging/content-add-curriculum-note/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx","docs/content-add-curriculum-note.md","image-upload-staging/content-add-curriculum-note/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add User.docx","docs/admin-add-external-user.md","image-upload-staging/admin-add-external-user/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add User.docx","docs/admin-add-external-user.md","image-upload-staging/admin-add-external-user/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Add User.docx","docs/admin-add-external-user.md","image-upload-staging/admin-add-external-user/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx","docs/sessions-add-learner-to-roster.md","image-upload-staging/sessions-add-learner-to-roster/step-07.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-07.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-12.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-13.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx","docs/sessions-add-learners-to-roster.md","image-upload-staging/sessions-add-learners-to-roster/step-14.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Creating a Video Lesson.docx","docs/content-create-video-lesson.md","image-upload-staging/content-create-video-lesson/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Creating a Video Lesson.docx","docs/content-create-video-lesson.md","image-upload-staging/content-create-video-lesson/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Creating a Video Lesson.docx","docs/content-create-video-lesson.md","image-upload-staging/content-create-video-lesson/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Creating a Video Lesson.docx","docs/content-create-video-lesson.md","image-upload-staging/content-create-video-lesson/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Due Dates.docx","docs/admin-edit-due-dates.md","image-upload-staging/admin-edit-due-dates/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Due Dates.docx","docs/admin-edit-due-dates.md","image-upload-staging/admin-edit-due-dates/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-07.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Session (Date Time Location).docx","docs/sessions-edit-date-time-location.md","image-upload-staging/sessions-edit-date-time-location/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Validation Details.docx","docs/checklists-edit-validation-details.md","image-upload-staging/checklists-edit-validation-details/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Basic Life Support.docx","docs/learner-enroll-basic-life-support.md","image-upload-staging/learner-enroll-basic-life-support/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Basic Life Support.docx","docs/learner-enroll-basic-life-support.md","image-upload-staging/learner-enroll-basic-life-support/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Basic Life Support.docx","docs/learner-enroll-basic-life-support.md","image-upload-staging/learner-enroll-basic-life-support/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Basic Life Support.docx","docs/learner-enroll-basic-life-support.md","image-upload-staging/learner-enroll-basic-life-support/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Safety Always.docx","docs/learner-enroll-safety-always.md","image-upload-staging/learner-enroll-safety-always/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Safety Always.docx","docs/learner-enroll-safety-always.md","image-upload-staging/learner-enroll-safety-always/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Safety Always.docx","docs/learner-enroll-safety-always.md","image-upload-staging/learner-enroll-safety-always/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Enroll in Safety Always.docx","docs/learner-enroll-safety-always.md","image-upload-staging/learner-enroll-safety-always/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grading Free Form Essay.docx","docs/tests-grade-free-form-essay.md","image-upload-staging/tests-grade-free-form-essay/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grading Free Form Essay.docx","docs/tests-grade-free-form-essay.md","image-upload-staging/tests-grade-free-form-essay/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Grading Free Form Essay.docx","docs/tests-grade-free-form-essay.md","image-upload-staging/tests-grade-free-form-essay/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Access Previously Completed Training.docx","docs/learner-access-completed-training.md","image-upload-staging/learner-access-completed-training/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Access Previously Completed Training.docx","docs/learner-access-completed-training.md","image-upload-staging/learner-access-completed-training/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Access Previously Completed Training.docx","docs/learner-access-completed-training.md","image-upload-staging/learner-access-completed-training/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - How to Run 'Time Spent' Report.docx","docs/reports-time-spent.md","image-upload-staging/reports-time-spent/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for ITL Admins.docx","docs/sessions-interest-tracking-ilt-admins.md","image-upload-staging/sessions-interest-tracking-ilt-admins/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for ITL Admins.docx","docs/sessions-interest-tracking-ilt-admins.md","image-upload-staging/sessions-interest-tracking-ilt-admins/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for ITL Admins.docx","docs/sessions-interest-tracking-ilt-admins.md","image-upload-staging/sessions-interest-tracking-ilt-admins/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for ITL Admins.docx","docs/sessions-interest-tracking-ilt-admins.md","image-upload-staging/sessions-interest-tracking-ilt-admins/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-01.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-02.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-04.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-05.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-07.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Interest Tracking for Sessions.docx","docs/sessions-interest-tracking.md","image-upload-staging/sessions-interest-tracking/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-03.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-06.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-08.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-09.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-11.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
"TipSheets/TipSheets/Cornerstone Tip Sheet - Lippincott Professional Development CE Certificate.docx","docs/learner-lippincott-ce-certificate.md","image-upload-staging/learner-lippincott-ce-certificate/step-13.png","Extracted from source tip sheet; legacy screenshot callouts preserved for review.",""
